Input Name,SymPy F5B Time (sec),CP GPU Time (sec),SP GPU Time (sec),CP+SP GPU Time (sec),Number of Variables,Number of Polynomials,Max Degree,CP Matching,SP Matching,CPSP matching
cyclic_affine_3,0.0009350776672363281,0.4826021194458008,0.0007126331329345703,0.007318019866943359,3,3,1,True,True,True
cyclic_affine_4,0.013119697570800781,0.12306523323059082,0.18239450454711914,0.1742868423461914,4,4,1,True,True,True
katsura_affine_4,0.013655424118041992,0.08209371566772461,0.05313682556152344,0.11539959907531738,4,4,2,True,True,True
eco_affine_4,0.00799870491027832,0.09313035011291504,0.03278517723083496,0.10780715942382812,4,4,1,True,True,True
caprasse,35.26055097579956,96.73499083518982,113.78222393989563,153.92022514343262,4,4,3,True,True,True
cyclic_affine_5,2.8038108348846436,22.6834557056427,9.49503755569458,29.566839694976807,5,5,1,True,True,True
katsura_affine_5,0.12799692153930664,0.6892538070678711,0.4318070411682129,1.0661067962646484,5,5,2,True,True,True
eco_affine_5,0.0641183853149414,0.44583964347839355,0.22592782974243164,0.5320162773132324,5,5,1,True,True,True
chandra_5,0.2708475589752197,2.5526342391967773,0.8831219673156738,3.014758348464966,5,5,2,True,True,True
chemequs_5,2.6448357105255127,10.755976438522339,8.180092334747314,15.651441097259521,5,5,2,True,True,True
camera1s,5.374694108963013,21.019279718399048,13.512165546417236,31.092827320098877,6,6,1,True,True,True
original_cyc_4_4_2,0.5026149749755859,1.2083418369293213,1.314446210861206,1.9329679012298584,8,8,2,True,True,True
comb3000s,0.14375925064086914,0.9993772506713867,0.3914520740509033,1.2074649333953857,10,10,2,True,True,True
