Input Name,SymPy F5B Time (sec),CP GPU Time (sec),SP GPU Time (sec),CP+SP GPU Time (sec),Number of Variables,Number of Polynomials,Max Degree
cyclic_affine_3,0.0008492469787597656,0.6921381950378418,0.0007722377777099609,0.007929563522338867,3,3,1
cyclic_affine_4,0.013019561767578125,0.12987351417541504,0.15540647506713867,0.18092560768127441,4,4,1
katsura_affine_4,0.013517618179321289,0.08629703521728516,0.053786277770996094,0.11872148513793945,4,4,2
eco_affine_4,0.008008003234863281,0.09795951843261719,0.03303647041320801,0.11357426643371582,4,4,1
caprasse,35.34814381599426,98.49782729148865,114.27415585517883,157.32065653800964,4,4,3
cyclic_affine_5,2.9247119426727295,23.68760061264038,9.519553661346436,30.74641704559326,5,5,1
katsura_affine_5,0.12761616706848145,0.7172591686248779,0.43821048736572266,1.0974223613739014,5,5,2
eco_affine_5,0.06572461128234863,0.4667963981628418,0.22712159156799316,0.5529205799102783,5,5,1
chandra_5,0.2693796157836914,2.6867496967315674,0.8894262313842773,3.154629945755005,5,5,2
chemequs_5,2.635836124420166,11.058478593826294,8.214536190032959,16.066729307174683,5,5,2
camera1s,5.363407611846924,21.39587378501892,13.603633642196655,30.95953679084778,6,6,1
original_cyc_4_4_2,0.506882905960083,1.2207801342010498,1.3329100608825684,1.9833002090454102,8,8,2
comb3000s,0.19671630859375,1.048959732055664,0.39621949195861816,1.2634425163269043,10,10,2
