Input Name,SymPy F5B Time (sec),CP GPU Time (sec),SP GPU Time (sec),CP+SP GPU Time (sec),Number of Variables,Number of Polynomials,Max Degree,CP Matching,SP Matching,CPSP matching
cyclic_affine_3,0.0005853176116943359,0.24120712280273438,0.0005507469177246094,0.006094932556152344,3,3,1,True,True,True
cyclic_affine_4,0.009331226348876953,0.10149312019348145,0.12379026412963867,0.14204072952270508,4,4,1,True,True,True
katsura_affine_4,0.009815454483032227,0.06727886199951172,0.043851375579833984,0.09343719482421875,4,4,2,True,True,True
eco_affine_4,0.00599980354309082,0.07808899879455566,0.026725053787231445,0.08912134170532227,4,4,1,True,True,True
caprasse,27.245948553085327,75.27436876296997,88.95469164848328,121.26187205314636,4,4,3,True,True,True
cyclic_affine_5,2.1926686763763428,18.633166074752808,7.5291337966918945,24.15484070777893,5,5,1,True,True,True
katsura_affine_5,0.10756325721740723,0.5819005966186523,0.34830451011657715,0.8915433883666992,5,5,2,True,True,True
eco_affine_5,0.06005740165710449,0.39514946937561035,0.1839907169342041,0.4370129108428955,5,5,1,True,True,True
chandra_5,0.20754337310791016,2.1021056175231934,0.7007560729980469,2.4910712242126465,5,5,2,True,True,True
chemequs_5,2.0297927856445312,8.531842470169067,6.528539419174194,12.732558488845825,5,5,2,True,True,True
camera1s,4.142094373703003,16.51122784614563,10.684202671051025,24.253567934036255,6,6,1,True,True,True
original_cyc_4_4_2,0.409527063369751,0.9561560153961182,1.0727124214172363,1.5555365085601807,8,8,2,True,True,True
comb3000s,0.13593220710754395,0.8127093315124512,0.31120920181274414,0.9886796474456787,10,10,2,True,True,True
