Input Name,SymPy F5B Time (sec),CP GPU Time (sec),SP GPU Time (sec),SP2 GPU Time (sec),CP+SP GPU Time (sec),CP+SP2 GPU Time (sec),Number of Variables,Number of Polynomials,Max Degree,CP Matching,SP Matching,SP2 Matching,CPSP matching,CPSP2 matching
cyclic_affine_3,0.0008115768432617188,0.44892144203186035,0.0007688999176025391,0.00225830078125,0.007673025131225586,0.008442401885986328,3,3,1,False,False,False,False,False
cyclic_affine_4,0.012346029281616211,0.12441015243530273,0.15323853492736816,0.21079373359680176,0.17593598365783691,0.1659679412841797,4,4,1,False,False,False,False,False
katsura_affine_4,0.013215065002441406,0.08331084251403809,0.054078102111816406,0.11244463920593262,0.11611795425415039,0.10139751434326172,4,4,2,False,False,False,False,False
eco_affine_4,0.007953643798828125,0.09369087219238281,0.03267359733581543,0.0656275749206543,0.10811233520507812,0.10829401016235352,4,4,1,False,False,False,False,False
caprasse,34.7510712146759,98.43060541152954,113.49017333984375,228.94979238510132,154.23698019981384,154.22010350227356,4,4,3,False,False,False,False,False
cyclic_affine_5,2.7925894260406494,23.22541379928589,9.408080816268921,19.915772676467896,31.018956661224365,30.753407955169678,5,5,1,False,False,False,False,False
katsura_affine_5,0.12700200080871582,0.7004380226135254,0.44333529472351074,1.2967514991760254,1.0773377418518066,1.1160924434661865,5,5,2,False,False,False,False,False
eco_affine_5,0.06478142738342285,0.45214366912841797,0.22481536865234375,0.5079319477081299,0.5345597267150879,0.5139763355255127,5,5,1,False,False,False,False,False
chandra_5,0.27114033699035645,2.598525285720825,0.8782162666320801,2.43458890914917,3.048449754714966,3.046802282333374,5,5,2,False,False,False,False,False
chemequs_5,2.596360206604004,11.047868728637695,8.143970489501953,18.435582876205444,15.796790599822998,15.719509840011597,5,5,2,False,False,False,False,False
camera1s,5.318768262863159,21.375635147094727,13.494513988494873,38.7993700504303,30.379038095474243,30.178611278533936,6,6,1,False,False,False,False,False
original_cyc_4_4_2,0.5037767887115479,1.1976356506347656,1.3204584121704102,2.6566338539123535,1.9529850482940674,1.9391484260559082,8,8,2,False,False,False,False,False
comb3000s,0.1468367576599121,1.0123367309570312,0.3919954299926758,1.3181564807891846,1.2208406925201416,1.1651694774627686,10,10,2,False,False,False,False,False
